unix,open,high,low,close,vwap,volume,tradecount,date,volume_from,Name,vwap_
1638798540,42640.3,42651.8,42629.6,42638.6,42647.5,1.65618605,68,2021-12-06 13:49:00,70617.45451153,BTCEUR,42457.42
1638798600,42638.6,42639.1,42618.8,42618.8,42625.2,2.37447344,67,2021-12-06 13:50:00,101197.208644672,BTCEUR,42457.66
1638798660,42618.8,42685.3,42600.0,42670.1,42628.3,4.91710992,91,2021-12-06 13:51:00,209813.571997392,BTCEUR,42458.33
1638798720,42670.1,42698.8,42670.1,42698.8,42686.9,0.21672183,26,2021-12-06 13:52:00,9253.762074804,BTCEUR,42458.36
1638798780,42686.4,42687.2,42615.5,42684.2,42671.3,1.02201332,36,2021-12-06 13:53:00,43623.82095354399,BTCEUR,42458.51
1638798840,42691.1,42700.0,42683.4,42690.8,42694.6,1.60935604,96,2021-12-06 13:54:00,68704.696832432,BTCEUR,42458.75
1638798900,42695.0,42723.1,42691.8,42723.1,42700.7,0.65848401,21,2021-12-06 13:55:00,28132.478207631,BTCEUR,42458.86
1638798960,42723.1,42853.8,42723.1,42828.2,42825.3,0.48080297,34,2021-12-06 13:56:00,20591.925759753998,BTCEUR,42458.97
1638799020,42828.3,42842.2,42795.6,42835.7,42824.8,0.82510212,35,2021-12-06 13:57:00,35343.826881684,BTCEUR,42459.17
1638799080,42831.5,42858.5,42822.9,42836.9,42846.1,2.90441746,40,2021-12-06 13:58:00,124416.240292274,BTCEUR,42459.87
1638799140,42848.6,42862.6,42790.0,42831.2,42832.0,1.05998973,22,2021-12-06 13:59:00,45400.632123576,BTCEUR,42460.13
1638799200,42806.6,42812.6,42781.0,42786.4,42798.2,0.19481350,25,2021-12-06 14:00:00,8335.3683364,BTCEUR,42460.17
1638799260,42772.9,42772.9,42726.5,42734.0,42771.7,8.98576185,46,2021-12-06 14:01:00,383997.5468979,BTCEUR,42461.72
1638799320,42737.8,42767.9,42734.0,42734.2,42748.5,0.38532831,32,2021-12-06 14:02:00,16466.697065202,BTCEUR,42461.79
1638799380,42734.2,42856.5,42717.6,42856.5,42793.3,3.14090515,54,2021-12-06 14:03:00,134608.201560975,BTCEUR,42462.58
